,kcat,MW,kcat_MW
PA140abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PA141abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PA160abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PA161abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PA180abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PA181abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PGP120abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PGP140abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PGP141abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PGP160abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PGP161abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PGP180abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PGP181abcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PHEMEabcpp_num1,7398.8133918117555,87329.29130000003,305003.3707364153
PROabcpp,7398.8133918117555,66268.83220000006,401934.47396410117
PROt4pp,7398.8133918117555,56646.714500000126,470207.82132955396
PSERtex_num1,7398.8133918117555,41250.81990000006,645701.7890818282
RIBabcpp,7398.8133918117555,120919.5478,220276.44574537786
SPMDabcpp,7398.8133918117555,133143.22440000018,200053.20083357004
THMabcpp,7398.8133918117555,95618.53820000008,278562.3866661695
TREptsp_num1,7398.8133918117555,59665.890700000244,446414.65832541755
TREptspp_num1,7398.8133918117555,59665.890700000244,446414.65832541755
TRPt2rpp,7398.8133918117555,49267.626700000095,540633.4746488258
URAt2pp_num1,7398.8133918117555,50443.91170000012,528026.6203170414
URAt2rpp_num1,7398.8133918117555,50443.91170000012,528026.6203170414
UREAtpp,7398.8133918117555,175767.81819999998,151539.27768628538
VALt2rpp,7398.8133918117555,44831.84830000004,594125.1414013705
XANt2pp_num1,7398.8133918117555,50443.91170000012,528026.6203170414
XYLUt2pp,7398.8133918117555,49820.403100000076,534634.9397667213
ALATRS_num1,7398.8133918117555,96224.45300000068,276808.30994718283
ARGTRS_num1,7398.8133918117555,59722.312500000124,445992.9144659672
ASPTRS,7398.8133918117555,134018.70080000072,198746.35443803808
CYSTRS_num1,7398.8133918117555,51046.5241000001,521793.1814190317
FMETTRS_num1,12.649192307692307,33589.64190000002,1355.6885316985858
GLNTRS,101.5622667,116722.74150000015,3132.415803650393
GLUTRS_num1,1.2668428571428572,87941.30590000008,51.85997909674301
GLYTRS_num1,7398.8133918117555,106086.52780000016,251075.50188405995
ILETRS_num1,17.51276111111111,117402.43270000065,537.0071007055005
LEUTRS_num1,9.063725185185186,106777.27010000053,305.5838628961775
LYSTRS_num1,7398.8133918117555,117852.28380000018,226009.43614910482
METTRS_num1,6.187476190476192,67618.3354000002,329.42121621222617
PHETRS,20.840466666666668,254560.9390000012,294.72581415957006
PROTRS_num1,17.925,128661.62360000037,501.5481554983252
SERTRS_num1,1.803436206896552,92942.14300000011,69.85389119796363
SERTRS2,1.803436206896552,92942.14300000011,69.85389119796363
THRTRS_num1,30.483157894736838,155240.05940000064,706.9010978557521
TRPTRS,4.671538461538462,75652.13160000005,222.30092009117226
TYRTRS,5.905,92889.29820000018,228.85305855395043
VALTRS_num1,3.4234,101584.12620000068,121.32052970299524
ANPRT,1.1696190476190476,73265.38340000014,57.470914312154726
ANS,9.035235294117651,156517.12100000025,207.81654333408989
CHORM,1.05,11532.071499999993,327.78152650198217
CHORS,0.87,174931.89720000015,17.904110400284377
DDPA,122.0,90032.30260000011,4878.249109670105
DHQS,1568.34375,38857.68100000005,145300.42335773958
DHQTi,52.26,185368.90679999985,1014.9274937624016
IGPS,4.483666666666667,50476.53320000011,319.7763193451638
PHETA1_num1,2.85,36449.61920000005,281.48442220213883
PPND,39.026,36289.599300000016,3871.456359673829
PPNDH,1932.0,33739.434400000035,206144.534539085
PRAIi,4.483666666666667,50476.53320000011,319.7763193451638
PSCVT,5.67,45527.32590000005,448.3461217299384
SHK3Dr_num1,121.6825,28870.2389,15173.307069516492
SHKK,42.48888888888889,18381.7814,8321.28272399105
TRPS1,20.55881363636364,147740.78900000005,500.9566389340798
TRPS2,20.55881363636364,147740.78900000005,500.9566389340798
TRPS3,20.55881363636364,147740.78900000005,500.9566389340798
TYRTA_num1,2.85,36449.61920000005,281.48442220213883
INPSHE,4.483666666666667,50476.53320000011,319.7763193451638
ACHBS,64.40225,85593.68480000019,2708.705677781493
ACLS,64.40225,85593.68480000019,2708.705677781493
DHAD1,14.895461538461538,129346.78940000027,414.57280684897637
DHAD2,14.895461538461538,129346.78940000027,414.57280684897637
ILETA,18.805,41690.674299999984,1623.816384279494
IPMD,48.38842105263158,72288.42920000013,2409.7676172699757
IPPMIa,3.2,73902.9218000001,155.8801698148826
IPPMIb,3.2,73902.9218000001,155.8801698148826
IPPS,450.0,272747.6844000011,5939.555467038068
KARA1,2.097142857142857,36158.38140000001,208.79569254486282
KARA2,2.097142857142857,36158.38140000001,208.79569254486282
THRD_L_num1,190.85,32059.913400000016,21430.50080727915
VALTA,18.805,41690.674299999984,1623.816384279494
LEUTAi,18.805,41690.674299999984,1623.816384279494
ALAR_reverse,275.128125,78346.44680000009,12642.069812411692
ALATA_L_reverse,52.82854166666666,46748.85590000004,4068.1797733578296
ASPTA_reverse,161.435,94590.00520000012,6144.05294482423
2METS_reverse,18.301538461538463,85189.59560000009,773.3988874756253
ALCD19_reverse_num1,292.8888888888889,37284.043600000055,28280.194372479447
ARAI_reverse_num1,111.08642857142857,7458.6584,53617.0342453467
DHACOAH_reverse,7398.8133918117555,36529.61010000005,729154.4623007701
GUI1_reverse,67.86666666666666,57453.80120000014,4252.460148798637
HCO3E_reverse,2907913.6363636362,22228.037300000015,470958769.3065946
MALGT_reverse,105.02,69449.90270000021,5443.808922715724
MAN1PG_reverse,104.49166666666667,37033.46390000002,10157.569948513508
MAN6PI_reverse,22925.153333333332,42833.65220000009,1926768.97161713
MCITL2_reverse_num1,63.21666666666667,133657.83880000006,1702.7059695356977
MM_COA_ADD5_reverse,3.84,57996.13550000006,238.36070939588703
PGMT_reverse,142.13625,59206.42900000016,8642.482052075773
PMANM_reverse_num1,24.803846153846155,62579.15660000018,1426.8943687529004
UDPG4E_reverse,4496.622911923077,70526.10140000013,229529.8075688478
XYLI1_reverse,4.944916666666667,37328.38340000004,476.89448024689926
ACOTA_reverse,1.185,82411.52100000004,51.76460703837754
ARGSL_reverse,401.496,51040.99500000012,28318.131337369043
OCBT_reverse,1190.9444444444443,34328.29050000002,124894.07242693887
3OAR100_reverse,117.26209523809523,49743.12779999993,8486.469619571115
3OAR120_reverse,117.26209523809523,49743.12779999993,8486.469619571115
3OAR140_reverse,117.26209523809523,49743.12779999993,8486.469619571115
3OAR160_reverse,117.26209523809523,49743.12779999993,8486.469619571115
3OAR180_reverse,117.26209523809523,49743.12779999993,8486.469619571115
3OAR40_reverse,117.26209523809523,49743.12779999993,8486.469619571115
3OAR60_reverse,117.26209523809523,49743.12779999993,8486.469619571115
3OAR80_reverse,117.26209523809523,49743.12779999993,8486.469619571115
ALAALAr_reverse,1.5493431307692307,38559.13410000003,144.6514658836497
GLUR_reverse,3855.699393939393,29230.0265,474871.8862154237
PGAMT_reverse,1.5664,46353.25000000006,121.6536057342256
G1PTT_reverse,6.081253846153849,30834.505299999986,710.0004891647752
GALUi_reverse_num1,104.56153846153843,32988.408699999985,11410.721319865865
PAPPT3_reverse,204.052,39267.773800000046,18707.126198226168
ACONTa_reverse,202.78,101724.64050000074,7176.314375866433
ACONTb_reverse,202.78,101724.64050000074,7176.314375866433
FUM_reverse,374.33333333333326,200973.2628000004,6705.369566204791
MDH_reverse,327.54545454545456,139630.61200000005,8444.879095449614
PYRC_reverse,5.78695,123101.83720000072,169.23402992071578
AMAOTr_reverse,58.97429411588235,91480.2828000001,2320.800202174017
DHFR_reverse,55.85,16986.04969999999,11836.772148382452
DHPTPE_reverse,7398.8133918117555,14020.717199999981,1899740.7786330902
G1SAT_reverse,0.51,92032.86340000023,19.94939559818145
GTHOr_reverse,233.7,50150.21280000008,16776.000599542793
ICHORS_reverse,10.242083333333332,40372.128000000055,913.2909714345489
IPDDI_reverse,2151.6445714285715,21120.492299999987,366749.0486073027
OHPBAT_reverse,1.07125,40045.63320000005,96.30263506483887
PY5PSH_reverse,0.016436000000000003,655015.6032000005,0.0903331152890618
RBFK_reverse,2.005416666666666,37168.53070000005,194.2368951377459
SERAT_reverse,1026.58444,19492.143799999994,189599.6675337477
MTHFC_reverse,2231.975,60298.61300000001,133255.30389894705
MTHFD_reverse,94.9512,60298.61300000001,5668.858751361328
GHMT2r_reverse,34.82536217391304,93080.48380000018,1346.912894173061
ENO_reverse,66.2408972972973,44948.827400000046,5305.30481136133
FBA_reverse,7.543924240909091,37213.61340000002,729.7901167338057
GAPD_reverse_num1,6.45,39232.88790000007,591.850389886796
PGI_reverse,1473.8477300000004,59165.712000000174,89677.81589444887
PGK_reverse,647.8,42696.706500000066,54619.66955226387
PGM_reverse_num1,148.6390909090909,23104.858,23159.663100839112
TPI_reverse,11085.090909090908,54404.93979999999,733505.5864307247
PRMICI_reverse,7.91625,26608.54120000001,1071.0282756876577
PRPPS_reverse,38.394,213301.1478000002,647.9965130314215
CAt6pp_reverse_num1,7398.8133918117555,54060.679300000076,492700.5830376659
MG2t3_2pp_reverse_num1,7398.8133918117555,47316.335600000086,562928.8040327932
NH4tpp_reverse_num1,7398.8133918117555,45405.226000000046,586622.5224938269
PIt2rpp_reverse,7398.8133918117555,43961.3903000001,605889.1229043377
MI2DH_reverse_num1,58.0,145723.70760000026,1432.8485284847345
UAGAAT_reverse_num1,9.166666666666666,51947.940100000065,635.2513677438377
ACACT1r_reverse,250225.12,42589.73690000003,21150880.41316356
ACOAD1f_reverse,7398.8133918117555,43527.88540000009,611923.3214697415
ACOAD2f_reverse,7398.8133918117555,43527.88540000009,611923.3214697415
ACOAD3f_reverse,7398.8133918117555,43527.88540000009,611923.3214697415
ACOAD4f_reverse,7398.8133918117555,43527.88540000009,611923.3214697415
ACOAD5f_reverse,7398.8133918117555,43527.88540000009,611923.3214697415
