gene_id	normalized_counts
Cgl2696	463.33
Cgl2695	226.69
Cgl2694	188.52
Cgl2693	124.12
Cgl2692	101.64
Cgl2691	71.06
Cgl2690	450.83
Cgl2689	125.39
Cgl2688	64.06
Cgl2687	497.06
Cgl2686	16.88
Cgl2685	13.43
Cgl2684	55.71
Cgl2683	105.32
Cgl2682	64.48
Cgl2681	13.32
Cgl2680	35.34
Cgl2679	115.9
Cgl2678	332.78
Cgl2677	61.62
Cgl2676	63.65
Cgl2675	74.74
Cgl2674	968.48
Cgl2673	87.45
Cgl2672	47.82
Cgl2671	21.81
Cgl2670	287.85
Cgl2668	59.26
Cgl2667	622.66
Cgl2666	79.93
Cgl2665	53.54
Cgl2664	736.83
Cgl2663	28.35
Cgl2662	41.83
Cgl2661	286.84
Cgl2660	339.26
Cgl2659	184.49
Cgl2658	53.01
Cgl2657	26.25
Cgl2656	14.34
Cgl2655	22.27
Cgl2654	34.79
Cgl2653	28.17
Cgl2652	68.88
Cgl2651	59.52
Cgl2650	30.24
Cgl2648	19.38
Cgl2647	58.51
Cgl2646	16.97
Cgl2645	76.75
Cgl2644	85.71
Cgl2643	370.31
Cgl2642	2953.68
Cgl2641	1280.11
Cgl2640	453.72
Cgl2639	81.55
Cgl2638	4.49
Cgl2637	6.41
Cgl2636	7.45
Cgl2635	1.12
Cgl2634	3.09
Cgl2633	2.7
Cgl2632	1.31
Cgl2630	17.6
Cgl2629	30.26
Cgl2628	9.31
Cgl2627	108.83
Cgl2626	206.96
Cgl2625	26.18
Cgl2624	95.45
Cgl2623	757.04
Cgl2622	77.12
Cgl2621	14.83
Cgl2620	69.03
Cgl2619	435.85
Cgl2618	21.82
Cgl2617	273.95
Cgl2616	68.34
Cgl2615	8.32
Cgl2614	41.57
Cgl2613	56.66
Cgl2612	39.72
Cgl2611	5.63
Cgl2610	171.47
Cgl2609	141.69
Cgl2608	69.34
Cgl2607	1129.37
Cgl2606	424.07
Cgl2605	26.69
Cgl2604	3.41
Cgl2603	7.99
Cgl2602	24.08
Cgl2601	367.62
Cgl2600	180.7
Cgl2599	369.55
Cgl2598	303.21
Cgl2597	428.05
Cgl2596	105.1
Cgl2595	37.9
Cgl2594	22.13
Cgl2592	7.89
Cgl2591	263.98
Cgl2590	475.78
Cgl2589	651.2
Cgl2588	335.54
Cgl2587	124.46
Cgl2586	199.33
Cgl2585	33.91
Cgl2584	421.5
Cgl2583	750.76
Cgl2582	2371.47
Cgl2581	372.13
Cgl2580	171.98
Cgl2579	278.18
Cgl2578	98.31
Cgl2577	63.41
Cgl2576	107.34
Cgl2575	60.87
Cgl2574	22.95
Cgl2573	27.74
Cgl2572	63.92
Cgl2571	327.37
Cgl2570	118.61
Cgl2569	3146.47
Cgl2568	33.64
Cgl2567	272.12
Cgl2566	40.55
Cgl2565	39.23
Cgl2564	778.19
Cgl2563	908.18
Cgl2562	8530.37
Cgl2560	232.04
Cgl2559	362.91
Cgl2558	220.71
Cgl2557	54.95
Cgl2556	4.1
Cgl2555	2.55
Cgl2554	8.01
Cgl2553	115.55
Cgl2552	171.99
Cgl2551	192.51
Cgl2550	104.69
Cgl2548	18.05
Cgl2547	52.26
Cgl2546	109.91
Cgl2545	32.01
Cgl2544	64.22
Cgl2543	13.16
Cgl2542	16.36
Cgl2541	135.92
Cgl2540	1508.17
Cgl2539	259.76
Cgl2538	82.87
Cgl2537	140.47
Cgl2536	350.45
Cgl2535	142.88
Cgl2534	175.86
Cgl2532	572.54
Cgl2531	233.91
Cgl2530	248.58
Cgl2528	5.24
Cgl2527	151.01
Cgl2526	21552.48
Cgl2525	187.84
Cgl2523	2989.62
Cgl2522	200.43
Cgl2521	149.34
Cgl2520	339.6
Cgl2519	57.71
Cgl2518	196.34
Cgl2517	288.99
Cgl2516	81.44
Cgl2515	202.7
Cgl2514	204.79
Cgl2513	81.77
Cgl2512	80.77
Cgl2511	300.84
Cgl2510	50.74
Cgl2509	132.52
Cgl2508	93.22
Cgl2507	17.36
Cgl2505	140.21
Cgl2504	12.25
Cgl2503	18.69
Cgl2502	12.12
Cgl2501	210.33
Cgl2500	249.43
Cgl2499	208.48
Cgl2498	287.64
Cgl2497	104.16
Cgl2496	20.75
Cgl2495	88
Cgl2494	40.2
Cgl2493	60.8
Cgl2492	31.02
Cgl2491	55.53
Cgl2490	163.28
Cgl2489	383.49
Cgl2488	157.32
Cgl2487	205.92
Cgl2486	1.72
Cgl2485	57.59
Cgl2484	9.04
Cgl2482	84.08
Cgl2481	59.16
Cgl2480	7.13
Cgl2477	5.42
Cgl2476	36.29
Cgl2475	227.64
Cgl2474	37.19
Cgl2473	100.43
Cgl2472	95.99
Cgl2471	41.1
Cgl2470	30.68
Cgl2468	4.62
Cgl2467	12.19
Cgl2466	3.01
Cgl2464	4.49
Cgl2463	2162.88
Cgl2462	824.96
Cgl2461	5075.08
Cgl2460	1496.46
Cgl2459	1431.9
Cgl2458	590.14
Cgl2457	3.4
Cgl2456	81.86
Cgl2455	30.16
Cgl2454	914.79
Cgl2453	31.11
Cgl2452	29.2
Cgl2451	101.14
Cgl2450	69.4
Cgl2449	37.74
Cgl2448	36.98
Cgl2447	82.18
Cgl2446	1494.74
Cgl2445	344.55
Cgl2444	143.62
Cgl2443	302.12
Cgl2442	2.78
Cgl2441	168.39
Cgl2440	200.92
Cgl2439	1340
Cgl2438	1215.81
Cgl2437	890.02
Cgl2436	589.3
Cgl2435	363.73
Cgl2434	27.26
Cgl2433	18.05
Cgl2432	12.52
Cgl2431	6.17
Cgl2430	62.92
Cgl2429	38.06
Cgl2428	74.78
Cgl2427	27.63
Cgl2426	261.49
Cgl2425	699.42
Cgl2424	6.98
Cgl2423	171.27
Cgl2422	333.2
Cgl2420	5.76
Cgl2419	7.24
Cgl2418	606.34
Cgl2417	6.67
Cgl2416	17.49
Cgl2415	13.35
Cgl2414	553.26
Cgl2412	514.16
Cgl2411	780.77
Cgl2410	6
Cgl2409	5.02
Cgl2408	24.05
Cgl2407	13.56
Cgl2406	6.85
Cgl2405	6.86
Cgl2404	3.44
Cgl2402	146.25
Cgl2401	20.56
Cgl2400	53.83
Cgl2399	9.62
Cgl2398	3623.59
Cgl2397	4943.24
Cgl2396	2671.34
Cgl2395	1154.89
Cgl2394	123.06
Cgl2393	1186.67
Cgl2392	802.63
Cgl2391	566.85
Cgl2390	1901.32
Cgl2389	1893.67
Cgl2388	43.04
Cgl2387	363.35
Cgl2386	93.89
Cgl2385	233.33
Cgl2384	473.59
Cgl2383	5.3
Cgl2382	68.32
Cgl2381	123.42
Cgl2380	484.6
Cgl2379	220.87
Cgl2378	215.88
Cgl2377	19.03
Cgl2376	318.21
Cgl2375	228.91
Cgl2374	453.42
Cgl2373	70.82
Cgl2372	65.22
Cgl2371	45.87
Cgl2370	615.45
Cgl2369	25.82
Cgl2368	54.37
